doi,status,registered_title,registered_authors,registered_journal,dates,volume,page,title_similarity,manuscript_reference,error
10.3878/j.issn.1674-2834.13.0102,FAILED,,,,{},,,0.0,Fan LJ (2014). Quantile trends in temperature extremes in China. *Atmospheric and Oceanic Science Letters* 7:304–308. https://doi.org/10.3878/j.issn.1674-2834.13.0102,HTTP Error 404: Not Found
10.1016/S0304-4076(97)00058-4,DOI_METADATA_FOUND,The moving blocks bootstrap and robust inference for linear least squares and quantile regressions,Fitzenberger,Journal of Econometrics,"{""published-print"": [[1998, 2]], ""issued"": [[1998, 2]], ""published"": [[1998, 2]]}",82,235-287,1.0,Fitzenberger B (1998). The moving blocks bootstrap and robust inference for linear least squares and quantile regressions. *Journal of Econometrics* 82:235–287. https://doi.org/10.1016/S0304-4076(97)00058-4,
10.1029/2025EA004860,DOI_METADATA_FOUND,Analyzing Spatiotemporal Patterns of Extreme Temperatures in Iran Using Principal Component Analysis and Quantile Regression,Ghasemi,Earth and Space Science,"{""published-print"": [[2026, 6]], ""published-online"": [[2026, 6, 24]], ""issued"": [[2026, 6]], ""published"": [[2026, 6]]}",13,e2025EA004860,1.0,Ghasemi AR (2026). Analyzing spatiotemporal patterns of extreme temperatures in Iran using principal component analysis and quantile regression. *Earth and Space Science* 13:e2025EA004860. https://doi.org/10.1029/2025EA004860,
10.1016/j.jaridenv.2026.105606,DOI_METADATA_FOUND,Observed warming–driven aridification and climate-type transitions across Iran,Jamali; Eslamian; Shayannejad; Gohari,Journal of Arid Environments,"{""published-print"": [[2026, 5]], ""issued"": [[2026, 5]], ""published"": [[2026, 5]]}",235,105606,1.0,"Jamali M, Eslamian S, Shayannejad M, Gohari A (2026). Observed warming–driven aridification and climate-type transitions across Iran. *Journal of Arid Environments* 235:105606. https://doi.org/10.1016/j.jaridenv.2026.105606",
10.1007/BF00139728,DOI_METADATA_FOUND,Extreme events in a changing climate: Variability is more important than averages,Katz; Brown,Climatic Change,"{""published-print"": [[1992, 7]], ""issued"": [[1992, 7]], ""published"": [[1992, 7]]}",21,289-302,1.0,"Katz RW, Brown BG (1992). Extreme events in a changing climate: variability is more important than averages. *Climatic Change* 21:289–302. https://doi.org/10.1007/BF00139728",
10.1017/CBO9780511754098,DOI_METADATA_FOUND,Quantile Regression,Koenker,,"{""published-print"": [[2005]], ""published-online"": [[2009]], ""issued"": [[2005]], ""published"": [[2005]]}",,,1.0,"Koenker R (2005). *Quantile Regression*. Cambridge University Press, Cambridge. https://doi.org/10.1017/CBO9780511754098",
10.2307/1913643,DOI_METADATA_FOUND,Regression Quantiles,Koenker; Bassett,Econometrica,"{""published-print"": [[1978, 1]], ""issued"": [[1978, 1]], ""published"": [[1978, 1]]}",46,33,1.0,"Koenker R, Bassett G Jr (1978). Regression quantiles. *Econometrica* 46:33–50. https://doi.org/10.2307/1913643",
10.1214/aos/1176347265,DOI_METADATA_FOUND,The Jackknife and the Bootstrap for General Stationary Observations,Kunsch,The Annals of Statistics,"{""published-print"": [[1989, 9, 1]], ""issued"": [[1989, 9, 1]], ""published"": [[1989, 9, 1]]}",17,,1.0,Künsch HR (1989). The jackknife and the bootstrap for general stationary observations. *The Annals of Statistics* 17:1217–1241. https://doi.org/10.1214/aos/1176347265,
10.2307/2346729,DOI_METADATA_FOUND,A Non-Parametric Approach to the Change-Point Problem,Pettitt,Applied Statistics,"{""published-print"": [[1979]], ""issued"": [[1979]], ""published"": [[1979]]}",28,126,1.0,Pettitt AN (1979). A non-parametric approach to the change-point problem. *Applied Statistics* 28:126–135. https://doi.org/10.2307/2346729,
10.5194/nhess-26-881-2026,DOI_METADATA_FOUND,Spatial structures of emerging hot and dry compound events over Europe from 1950 to 2023,Schmutz; Vrac; François; Bulut,Natural Hazards and Earth System Sciences,"{""published-online"": [[2026, 2, 24]], ""issued"": [[2026, 2, 24]], ""published"": [[2026, 2, 24]]}",26,881-900,1.0,"Schmutz J, Vrac M, François B, Bulut B (2026). Spatial structures of emerging hot and dry compound events over Europe from 1950 to 2023. *Natural Hazards and Earth System Sciences* 26:881–900. https://doi.org/10.5194/nhess-26-881-2026",
10.1007/s00704-015-1609-5,DOI_METADATA_FOUND,Assessment of climate variations in temperature and precipitation extreme events over Iran,Soltani; Laux; Kunstmann; Stan; Sohrabi; Molanejad; Sabziparvar; Ranjbar SaadatAbadi; Ranjbar; Rousta; Zawar-Reza; Khoshakhlagh; Soltanzadeh; Babu; Azizi; Martin,Theoretical and Applied Climatology,"{""published-print"": [[2016, 11]], ""published-online"": [[2015, 9, 1]], ""issued"": [[2015, 9, 1]], ""published"": [[2015, 9, 1]]}",126,775-795,1.0,"Soltani M, Laux P, Kunstmann H, Stan K, Sohrabi MM, Molanejad M, Sabziparvar AA, Ranjbar SaadatAbadi A, Ranjbar F, Rousta I, Zawar-Reza P, Khoshakhlagh F, Soltanzadeh I, Babu CA, Azizi GH, Martin MV (2016). Assessment of climate variations in temperature and precipitation extreme events over Iran. *Theoretical and Applied Climatology* 126:775–795. https://doi.org/10.1007/s00704-015-1609-5",
10.1016/j.asieco.2006.09.001,DOI_METADATA_FOUND,Maximum entropy ensembles for time series inference in economics,Vinod,Journal of Asian Economics,"{""published-print"": [[2006, 12]], ""issued"": [[2006, 12]], ""published"": [[2006, 12]]}",17,955-978,1.0,Vinod HD (2006). Maximum entropy ensembles for time series inference in economics. *Journal of Asian Economics* 17:955–978. https://doi.org/10.1016/j.asieco.2006.09.001,
10.1029/2005JD006181,DOI_METADATA_FOUND,Trends in Middle East climate extreme indices from 1950 to 2003,Zhang; Aguilar; Sensoy; Melkonyan; Tagiyeva; Ahmed; Kutaladze; Rahimzadeh; Taghipour; Hantosh; Albert; Semawi; Karam Ali; Said Al‐Shabibi; Al‐Oulan; Zatari; Al Dean Khelet; Hamoud; Sagir; Demircan; Eken; Adiguzel; Alexander; Peterson; Wallis,Journal of Geophysical Research: Atmospheres,"{""published-print"": [[2005, 11, 27]], ""published-online"": [[2005, 11, 24]], ""issued"": [[2005, 11, 24]], ""published"": [[2005, 11, 24]]}",110,2005JD006181,1.0,"Zhang X, Aguilar E, Sensoy S, Melkonyan H, Tagiyeva U, Ahmed N, Kutaladze N, Rahimzadeh F, Taghipour A, Hantosh TH, Albert P, Semawi M, Karam Ali M, Al-Shabibi MHS, Al-Oulan Z, Zatari T, Al Dean Khelet I, Hamoud S, Sagir R, Demircan M, Eken M, Adiguzel M, Alexander LV, Peterson TC, Wallis T (2005a). Trends in Middle East climate extreme indices from 1950 to 2003. *Journal of Geophysical Research: Atmospheres* 110:D22104. https://doi.org/10.1029/2005JD006181",
10.1002/wcc.147,DOI_METADATA_FOUND,Indices for monitoring changes in extremes based on daily temperature and precipitation data,Zhang; Alexander; Hegerl; Jones; Tank; Peterson; Trewin; Zwiers,WIREs Climate Change,"{""published-print"": [[2011, 11]], ""published-online"": [[2011, 10, 31]], ""issued"": [[2011, 10, 31]], ""published"": [[2011, 10, 31]]}",2,851-870,1.0,"Zhang X, Alexander L, Hegerl GC, Jones P, Klein Tank AMG, Peterson TC, Trewin B, Zwiers FW (2011). Indices for monitoring changes in extremes based on daily temperature and precipitation data. *WIREs Climate Change* 2:851–870. https://doi.org/10.1002/wcc.147",
10.1175/JCLI3366.1,DOI_METADATA_FOUND,Avoiding Inhomogeneity in Percentile-Based Indices of Temperature Extremes,Zhang; Hegerl; Zwiers; Kenyon,Journal of Climate,"{""published-print"": [[2005, 6, 1]], ""published-online"": [[2005, 6, 1]], ""issued"": [[2005, 6, 1]], ""published"": [[2005, 6, 1]]}",18,1641-1651,1.0,"Zhang X, Hegerl G, Zwiers FW, Kenyon J (2005b). Avoiding inhomogeneity in percentile-based indices of temperature extremes. *Journal of Climate* 18:1641–1651. https://doi.org/10.1175/JCLI3366.1",
10.1002/joc.70324,DOI_METADATA_FOUND,How Do Precipitation Changes Affect Compound Dry and Hot Events Amidst Global Warming?,Zhao; Xiong,International Journal of Climatology,"{""published-print"": [[2026, 5]], ""published-online"": [[2026, 2, 27]], ""issued"": [[2026, 2, 27]], ""published"": [[2026, 2, 27]]}",46,e70324,1.0,"Zhao T, Xiong S (2026). How Do Precipitation Changes Affect Compound Dry and Hot Events Amidst Global Warming? *International Journal of Climatology* 46:e70324. https://doi.org/10.1002/joc.70324",
10.1126/sciadv.1700263,DOI_METADATA_FOUND,Dependence of drivers affects risks associated with compound events,Zscheischler; Seneviratne,Science Advances,"{""published-print"": [[2017, 6, 2]], ""issued"": [[2017, 6, 2]], ""published"": [[2017, 6, 2]]}",3,e1700263,1.0,"Zscheischler J, Seneviratne SI (2017). Dependence of drivers affects risks associated with compound events. *Science Advances* 3:e1700263. https://doi.org/10.1126/sciadv.1700263",
